family_size,province_name,province,monthly_mean,monthly_median,monthly_q1,monthly_q3,monthly_income_mean,monthly_income_median,monthly_income_q1,monthly_income_q3,col_index,income_index,col_index_custom,income_index_custom
1.5,Kalinga,32,23662.04,20473.58,13029.17,29095.33,47235.98,28795.83,21259.04,49352.92,0.05619596280236105,0.02194398775745828,0.5207833455112395,0.5112412815144399
1.5,La Union,33,23677.73,19241.33,12612.5,27500.12,44328.95,30955.0,23290.67,53230.83,0.05099425889765754,0.024639524668069644,0.5181421795015511,0.5125883078090181
1.5,Laguna,34,32752.22,27900.0,18605.42,38677.83,51099.59,43953.33,30779.33,56016.67,0.08754515161304743,0.04086681491909525,0.5367009012650805,0.5206974850834354
1.5,Lanao del Norte,35,18449.87,15427.75,12050.38,20773.88,27272.52,22902.5,17361.46,33085.33,0.034895972042799143,0.014586675206147705,0.5099682717139855,0.5075646509236915
1.5,Lanao del Sur,36,18649.9,19136.83,17230.1,20313.17,24914.86,26025.0,23273.12,27111.67,0.050553132455749224,0.018484846264185735,0.5179181974784125,0.5095126631713702
1.5,Leyte,37,18250.38,16435.08,12576.68,22203.42,28412.44,25311.75,16829.79,32554.04,0.03914821987751207,0.01759441535717353,0.5121273512486086,0.5090676928797268
1.5,Maguindanao,38,21257.09,19010.5,15040.33,24611.17,31592.08,23233.33,19965.42,33463.33,0.050019854911191534,0.01499968783421199,0.5176474257178088,0.507771043523179
1.5,Marinduque,40,18767.65,16889.62,12617.38,23073.12,30009.66,25210.0,19167.29,32988.0,0.04106697215411497,0.017467389286667405,0.5131015980313588,0.5090042148184933
1.5,Masbate,41,16342.84,14566.92,10436.0,19645.92,28406.84,21758.33,15903.5,32805.0,0.0312621454878907,0.013158277966924209,0.5081231956854847,0.5068508455839233
1.5,Metropolitan Manila,39,38022.38,30714.25,24317.02,42569.77,63903.6,49073.33,38675.83,70756.58,0.09942496107850643,0.04725869188215521,0.5427328764671626,0.5238916636929196
1.5,Misamis Occidental,42,21224.85,14522.75,10386.62,21488.38,32442.64,21489.71,13902.12,32787.92,0.03107569041670323,0.012822929140788043,0.5080285230925465,0.5066832635022671
1.5,Misamis Oriental,43,21928.16,18335.42,12815.25,26690.12,40613.42,33140.0,20514.17,51790.21,0.04717013588340719,0.02736730809859425,0.5162004804146475,0.5139514484851359
1.5,Mountain Province,44,19780.59,17024.25,13109.58,22658.33,41957.19,29570.83,21862.92,47222.42,0.041635286535685455,0.02291150819620271,0.513390159751695,0.5117247753469302
1.5,Negros Occidental,45,25178.07,18009.17,13730.67,28983.92,39284.81,26666.67,19305.0,43583.33,0.045792934910463774,0.01928591573506204,0.5155012063950404,0.5099129773487818
1.5,North Cotabato,47,13180.0,10777.33,9981.38,16839.32,24386.77,25525.08,19035.38,28915.88,0.01526512775591634,0.017860739402589462,0.500000707311652,0.5092007815755785
1.5,Northern Samar,48,22146.93,15850.08,12156.58,27312.52,45987.52,32255.17,19397.54,59520.54,0.03667875606395835,0.02626267440851137,0.5108734805927615,0.513399435778294
1.5,Nueva Ecija,49,22913.89,18768.5,15878.7,27344.0,45563.18,32622.5,26446.08,48090.67,0.04899829894045649,0.02672125412820684,0.5171287305063301,0.5136285993776343
1.5,Nueva Vizcaya,50,19883.27,16259.33,13662.0,24339.25,37058.79,25040.83,19009.67,43616.67,0.038406325407029894,0.017256195180057866,0.5117506542096939,0.5088986759131483
1.5,Occidental Mindoro,51,21513.69,14571.5,10662.67,20706.79,43447.69,22753.33,14730.33,40387.75,0.03128147906783271,0.01440044936892512,0.5081330123138672,0.5074715892785399
1.5,Oriental Mindoro,52,19103.12,18272.42,9580.83,23303.0,32521.43,26706.67,18198.33,41725.0,0.046904193626562944,0.019335852273835948,0.5160654481901716,0.5099379318691685
1.5,Palawan,53,17524.98,14241.83,10186.5,20791.42,30837.46,23226.67,17509.92,34782.83,0.029889841229517752,0.014991373400506129,0.5074264079735028,0.5077668885955346
