family_size,region_name,income,col,housing,food,transport
6.0,Region XI - Davao,39801.17,23482.42,27720.0,89416.25,10250.0
6.0,Region XII - SOCCSKSARGEN,36753.42,24813.54,28195.0,93826.9,11930.0
6.0,Region XIII - Caraga,38327.5,25602.83,29640.0,101346.0,10920.0
6.5,Bangsamoro Autonomous Region in Muslim Mindanao,34603.33,23630.79,21923.0,101704.0,8365.0
6.5,Cordillera Administrative Region,58443.25,33360.08,40535.0,121454.5,11822.5
6.5,National Capital Region,85250.0,56413.0,91800.0,174735.6,20270.0
6.5,Region I - Ilocos Region,55570.08,33802.75,42165.0,117721.32,14035.0
6.5,Region II - Cagayan Valley,46513.33,28491.67,42600.0,107544.4,13340.0
6.5,Region III - Central Luzon,65840.83,42738.5,64560.0,142836.0,17260.0
6.5,Region IVA - CALABARZON,65573.83,44652.58,63900.0,142430.0,17300.0
6.5,Region IVB - MIMAROPA,41405.17,26240.33,31098.0,101749.0,10305.0
6.5,Region IX - Zamboanga Peninsula,38974.42,26002.04,27060.0,101820.25,10128.0
6.5,Region V- Bicol,39630.75,25650.5,32140.0,99797.0,8602.5
6.5,Region VI - Western Visayas,59074.25,36276.17,43671.0,128645.5,16549.0
6.5,Region VII - Central Visayas,59766.0,32586.08,46572.0,116632.5,12944.0
6.5,Region VIII - Eastern Visayas,41650.0,26982.0,31000.0,105801.0,9560.0
6.5,Region X - Northern Mindanao,45196.17,27854.67,40100.0,98930.0,11960.0
6.5,Region XI - Davao,39143.0,23162.83,27732.0,86902.0,9200.0
6.5,Region XII - SOCCSKSARGEN,42875.83,25901.33,32490.0,100698.0,12725.0
6.5,Region XIII - Caraga,39235.0,27786.5,31320.0,109309.0,9750.0
7.0,Bangsamoro Autonomous Region in Muslim Mindanao,33835.5,23316.5,21600.0,101336.5,7140.0
7.0,Cordillera Administrative Region,53970.83,32149.33,43110.0,121738.0,11340.0
7.0,National Capital Region,85719.33,57404.42,92053.5,186755.88,21030.0
7.0,Region I - Ilocos Region,67290.0,38950.33,46860.0,132291.0,17995.0
7.0,Region II - Cagayan Valley,50740.0,31382.75,41050.0,111446.5,12635.0
7.0,Region III - Central Luzon,63138.33,42010.83,60985.0,147362.0,16900.0
7.0,Region IVA - CALABARZON,65500.42,43265.42,57680.0,150149.75,19610.0
7.0,Region IVB - MIMAROPA,41180.0,26894.83,31440.0,103579.0,11700.0
7.0,Region IX - Zamboanga Peninsula,39820.83,26035.75,27339.5,104901.0,10221.0
7.0,Region V- Bicol,38832.08,25647.5,31147.0,99388.5,10220.0
7.0,Region VI - Western Visayas,47900.83,31495.0,36690.0,122306.0,13590.0
7.0,Region VII - Central Visayas,54226.75,31069.46,41355.0,110730.0,13890.0
7.0,Region VIII - Eastern Visayas,39785.21,26058.71,31416.0,104305.0,9610.0
7.0,Region X - Northern Mindanao,43317.17,25554.83,30680.0,99043.0,11400.0
7.0,Region XI - Davao,41589.17,25039.0,29870.0,96552.0,10520.0
7.0,Region XII - SOCCSKSARGEN,36881.42,24978.75,26645.0,97846.25,11468.0
7.0,Region XIII - Caraga,40144.17,26912.83,27870.0,111025.0,10600.0
7.5,Bangsamoro Autonomous Region in Muslim Mindanao,37683.17,26124.08,22300.0,117071.0,7260.0
7.5,Cordillera Administrative Region,58626.17,35275.08,40320.0,135008.08,10532.0
7.5,National Capital Region,98622.83,61173.39,95814.0,192526.0,23368.0
7.5,Region I - Ilocos Region,75790.0,41268.67,52785.0,142657.5,16960.0
7.5,Region II - Cagayan Valley,50099.0,30672.58,41070.0,108655.0,15055.0
7.5,Region III - Central Luzon,76284.0,48960.67,64000.0,171273.25,21830.0
7.5,Region IVA - CALABARZON,70877.33,43132.92,60465.0,159175.0,17685.0
7.5,Region IVB - MIMAROPA,41246.0,27312.83,29863.0,107539.0,10450.0
7.5,Region IX - Zamboanga Peninsula,36406.67,24520.83,23580.0,105934.0,9600.0
7.5,Region V- Bicol,41327.08,26822.17,35090.0,101781.25,9795.0
7.5,Region VI - Western Visayas,57688.33,35251.83,43280.0,134473.0,16412.0
7.5,Region VII - Central Visayas,60993.67,32327.58,42510.0,118495.0,15760.0
7.5,Region VIII - Eastern Visayas,41600.83,26900.17,30650.0,109145.0,10110.0
7.5,Region X - Northern Mindanao,43918.33,26923.17,30320.0,101068.0,12070.0
7.5,Region XI - Davao,49441.67,25555.83,29700.0,98023.0,11600.0
7.5,Region XII - SOCCSKSARGEN,37625.0,23496.5,23740.0,99496.0,9350.0
7.5,Region XIII - Caraga,43600.0,29482.33,30490.0,116265.0,12066.0
8.0,Bangsamoro Autonomous Region in Muslim Mindanao,36422.33,24649.17,22000.0,106886.0,7685.0
8.0,Cordillera Administrative Region,53505.33,33653.83,38000.0,135517.0,10080.0
8.0,National Capital Region,91371.5,62630.17,95290.0,204702.0,21400.0
8.0,Region I - Ilocos Region,74089.17,38238.0,49649.0,134495.0,15010.0
8.0,Region II - Cagayan Valley,54665.58,32301.08,41085.0,119409.5,14387.5
8.0,Region III - Central Luzon,74165.83,49147.08,67830.0,168946.0,19500.0
8.0,Region IVA - CALABARZON,63476.67,42286.67,58865.0,157769.25,16080.0
8.0,Region IVB - MIMAROPA,41060.83,27472.0,30520.0,113531.0,9910.0
8.0,Region IX - Zamboanga Peninsula,42338.75,27325.08,26490.0,113378.0,9396.0
8.0,Region V- Bicol,42652.5,27011.0,31020.0,109173.0,10400.0
8.0,Region VI - Western Visayas,60666.92,36274.92,40720.0,142624.0,14124.0
8.0,Region VII - Central Visayas,56869.42,31840.33,43928.5,120906.0,13894.0
8.0,Region VIII - Eastern Visayas,43654.08,27334.58,34440.0,108749.0,10775.0
8.0,Region X - Northern Mindanao,47375.0,28431.67,32704.0,108289.5,12700.0
8.0,Region XI - Davao,43815.08,25693.42,27073.0,104591.38,10045.0
8.0,Region XII - SOCCSKSARGEN,38837.5,24640.5,25813.0,103345.5,12654.0
8.0,Region XIII - Caraga,44670.92,28485.75,28610.0,112903.75,11978.0
8.5,Bangsamoro Autonomous Region in Muslim Mindanao,39685.0,25055.08,23880.0,100842.0,6600.0
8.5,Cordillera Administrative Region,62641.25,37062.92,39636.0,141401.0,11686.0
8.5,National Capital Region,95828.33,65374.21,94870.0,210957.12,24518.0
8.5,Region I - Ilocos Region,85905.5,43629.44,61710.0,156653.5,13030.0
8.5,Region II - Cagayan Valley,58427.67,33638.62,41275.0,117343.05,13617.0
8.5,Region III - Central Luzon,87682.5,55132.42,72405.0,193858.82,20092.0
8.5,Region IVA - CALABARZON,71168.5,45238.75,63380.0,168793.0,18400.0
8.5,Region IVB - MIMAROPA,45482.92,28931.38,29825.0,120648.5,10280.0
8.5,Region IX - Zamboanga Peninsula,43265.0,29418.92,30060.0,125572.0,12015.0
8.5,Region V- Bicol,51593.75,31756.59,34215.0,122019.0,11506.0
8.5,Region VI - Western Visayas,69822.5,41044.0,46500.0,146040.5,17320.0
8.5,Region VII - Central Visayas,63069.83,34966.83,44484.0,129097.5,13680.0
8.5,Region VIII - Eastern Visayas,49553.33,31566.0,39840.0,125282.0,11560.0
8.5,Region X - Northern Mindanao,54021.67,32458.17,37928.0,125725.0,19040.0
8.5,Region XI - Davao,46503.33,27339.17,34880.0,104755.0,14446.0
8.5,Region XII - SOCCSKSARGEN,45068.92,28813.62,30810.0,116293.5,12547.0
8.5,Region XIII - Caraga,46140.08,32585.67,31630.0,129938.98,13420.0
9.0,Bangsamoro Autonomous Region in Muslim Mindanao,36583.0,26002.33,22590.0,113394.0,7200.0
9.0,Cordillera Administrative Region,62926.67,40112.5,51230.0,148007.0,11160.0
9.0,National Capital Region,101162.0,67105.58,99735.0,222354.75,26069.0
9.0,Region I - Ilocos Region,86933.67,42307.58,43630.0,166493.5,20465.0
9.0,Region II - Cagayan Valley,58895.67,35690.17,44485.0,124855.0,12850.0
9.0,Region III - Central Luzon,86995.0,55311.83,76470.0,192883.0,23400.0
9.0,Region IVA - CALABARZON,76950.0,47443.67,66000.0,174157.0,18200.0
9.0,Region IVB - MIMAROPA,44703.58,29718.67,33120.0,117505.0,11592.0
9.0,Region IX - Zamboanga Peninsula,45803.33,30293.83,30600.0,123993.0,10400.0
9.0,Region V- Bicol,46916.75,30209.5,29017.0,121914.85,12324.5
9.0,Region VI - Western Visayas,60370.0,38786.83,39548.0,144545.0,18730.0
9.0,Region VII - Central Visayas,66053.58,37897.67,44428.0,142842.0,15649.0
9.0,Region VIII - Eastern Visayas,46032.5,32001.17,34892.0,124523.0,10499.0
9.0,Region X - Northern Mindanao,48599.17,30888.21,30307.0,115945.0,10110.0
9.0,Region XI - Davao,54207.5,28010.5,28100.0,116041.0,9540.0
9.0,Region XII - SOCCSKSARGEN,35998.5,26860.92,19850.0,106577.0,13910.0
9.0,Region XIII - Caraga,49603.33,31766.5,27050.0,126040.0,10680.0
9.5,Bangsamoro Autonomous Region in Muslim Mindanao,38031.92,27166.4,23390.0,125988.88,7440.0
9.5,Cordillera Administrative Region,65367.5,40653.17,39300.0,139616.5,14105.0
9.5,National Capital Region,104561.17,67347.17,102980.0,232391.0,27020.0
9.5,Region I - Ilocos Region,100592.5,56604.0,52580.0,189050.25,22880.0
9.5,Region II - Cagayan Valley,57443.33,33605.25,35682.0,146812.0,15100.0
9.5,Region III - Central Luzon,66076.08,41388.5,57349.0,155917.5,16000.0
9.5,Region IVA - CALABARZON,96118.67,59442.83,67620.0,232124.5,23545.0
9.5,Region IVB - MIMAROPA,41795.83,28975.0,29410.0,117300.0,7840.0
9.5,Region IX - Zamboanga Peninsula,49922.08,28917.83,26790.0,129038.5,12275.5
9.5,Region V- Bicol,43923.5,28795.5,31398.0,119093.0,11080.0
9.5,Region VI - Western Visayas,77255.33,48480.0,64400.0,184701.0,30320.0
9.5,Region VII - Central Visayas,71229.17,33482.38,44689.5,119760.0,17810.0
9.5,Region VIII - Eastern Visayas,59862.83,35508.21,47340.0,135327.5,12791.0
9.5,Region X - Northern Mindanao,64990.75,40728.67,48350.0,144873.25,12660.0
9.5,Region XI - Davao,47750.83,25832.17,27840.0,108265.0,10980.0
9.5,Region XII - SOCCSKSARGEN,44840.25,28447.56,31613.0,119491.85,11936.0
9.5,Region XIII - Caraga,60230.0,35138.04,43482.0,134536.75,16290.0
10.0,Bangsamoro Autonomous Region in Muslim Mindanao,44090.0,30379.92,22400.0,139780.0,7400.0
10.0,Cordillera Administrative Region,72621.83,38919.08,37710.0,154373.0,11920.0
10.0,National Capital Region,120800.0,77996.17,106000.0,247014.0,29600.0
10.0,Region I - Ilocos Region,93155.67,60626.08,60681.0,206652.5,23135.0
10.0,Region II - Cagayan Valley,48817.92,29047.79,39427.0,111076.25,18970.0
10.0,Region III - Central Luzon,84926.67,55294.17,72090.0,195286.0,22060.0
10.0,Region IVA - CALABARZON,83443.5,51560.92,58925.0,198436.5,24176.0
10.0,Region IVB - MIMAROPA,46630.0,28906.67,28902.0,119659.0,13328.0
10.0,Region IX - Zamboanga Peninsula,48643.83,31404.25,27005.0,138456.25,12465.0
10.0,Region V- Bicol,49783.33,29771.83,33860.0,122805.45,13860.0
10.0,Region VI - Western Visayas,72910.67,47028.5,44048.0,162001.5,25305.0
10.0,Region VII - Central Visayas,101854.67,49190.33,57416.0,178428.5,17496.0
10.0,Region VIII - Eastern Visayas,54308.83,33336.12,30704.0,143863.25,10792.0
10.0,Region X - Northern Mindanao,60897.67,34310.5,38240.0,125693.0,10150.0
10.0,Region XI - Davao,61405.83,29572.17,33640.0,124870.75,13250.0
10.0,Region XII - SOCCSKSARGEN,50732.08,29051.83,28440.0,115789.0,17625.0
10.0,Region XIII - Caraga,47224.83,29432.42,34714.0,122488.6,12116.0
10.5,Bangsamoro Autonomous Region in Muslim Mindanao,34280.83,25001.0,22598.0,110698.52,9415.0
10.5,Cordillera Administrative Region,63116.25,36086.92,29363.0,136044.5,11335.0
10.5,National Capital Region,125340.0,89039.12,99250.0,289165.0,27170.0
10.5,Region I - Ilocos Region,92756.08,62333.17,71765.0,265519.0,27800.0
10.5,Region II - Cagayan Valley,67037.0,35241.17,45720.0,132377.0,17700.0
10.5,Region III - Central Luzon,111868.33,57602.97,84250.0,211281.0,24066.0
